focal,estimator,experience,industry,region,health,yearFE,sample,identified,b,se
union,fd,0,0,1,0,0,full,1,0.042487,0.022073
union,fd,0,0,1,0,0,nohealth,1,0.044917,0.021570
union,fd,0,0,1,0,0,trim,1,0.021404,0.017531
union,fd,0,0,1,0,1,full,1,0.041872,0.021945
union,fd,0,0,1,0,1,nohealth,1,0.044634,0.021481
union,fd,0,0,1,0,1,trim,1,0.021742,0.017477
union,fd,1,0,1,0,0,full,1,0.042795,0.022044
union,fd,1,0,1,0,0,nohealth,1,0.045561,0.021542
union,fd,1,0,1,0,0,trim,1,0.021446,0.017495
union,fd,1,0,1,0,1,full,1,0.041093,0.021945
union,fd,1,0,1,0,1,nohealth,1,0.043956,0.021490
union,fd,1,0,1,0,1,trim,1,0.020907,0.017462
union,fd,0,1,1,0,0,full,1,0.039287,0.022167
union,fd,0,1,1,0,0,nohealth,1,0.042116,0.021606
union,fd,0,1,1,0,0,trim,1,0.017932,0.017405
union,fd,0,1,1,0,1,full,1,0.039133,0.022015
union,fd,0,1,1,0,1,nohealth,1,0.042418,0.021500
union,fd,0,1,1,0,1,trim,1,0.018560,0.017340
union,fd,1,1,1,0,0,full,1,0.039693,0.022122
union,fd,1,1,1,0,0,nohealth,1,0.042939,0.021560
union,fd,1,1,1,0,0,trim,1,0.018063,0.017351
union,fd,1,1,1,0,1,full,1,0.038404,0.022012
union,fd,1,1,1,0,1,nohealth,1,0.041818,0.021505
union,fd,1,1,1,0,1,trim,1,0.017801,0.017328
union,fd,0,0,0,1,0,full,1,0.041931,0.022152
union,fd,0,0,0,1,0,nohealth,1,0.044979,0.021593
union,fd,0,0,0,1,0,trim,1,0.021002,0.017645
union,fd,0,0,0,1,1,full,1,0.041372,0.022042
union,fd,0,0,0,1,1,nohealth,1,0.044801,0.021516
union,fd,0,0,0,1,1,trim,1,0.021369,0.017606
union,fd,1,0,0,1,0,full,1,0.042317,0.022138
union,fd,1,0,0,1,0,nohealth,1,0.045695,0.021580
union,fd,1,0,0,1,0,trim,1,0.021108,0.017623
union,fd,1,0,0,1,1,full,1,0.040630,0.022047
union,fd,1,0,0,1,1,nohealth,1,0.044154,0.021529
union,fd,1,0,0,1,1,trim,1,0.020572,0.017597
union,fd,0,1,0,1,0,full,1,0.038970,0.022278
union,fd,0,1,0,1,0,nohealth,1,0.042349,0.021665
union,fd,0,1,0,1,0,trim,1,0.017827,0.017543
union,fd,0,1,0,1,1,full,1,0.038860,0.022144
union,fd,0,1,0,1,1,nohealth,1,0.042726,0.021575
union,fd,0,1,0,1,1,trim,1,0.018473,0.017497
union,fd,1,1,0,1,0,full,1,0.039452,0.022247
union,fd,1,1,0,1,0,nohealth,1,0.043240,0.021634
union,fd,1,1,0,1,0,trim,1,0.018020,0.017503
union,fd,1,1,0,1,1,full,1,0.038167,0.022146
union,fd,1,1,0,1,1,nohealth,1,0.042157,0.021583
union,fd,1,1,0,1,1,trim,1,0.017751,0.017489
union,fd,0,0,1,1,0,full,1,0.041871,0.022131
union,fd,0,0,1,1,0,nohealth,1,0.044917,0.021570
union,fd,0,0,1,1,0,trim,1,0.020762,0.017605
union,fd,0,0,1,1,1,full,1,0.041211,0.022011
union,fd,0,0,1,1,1,nohealth,1,0.044634,0.021481
union,fd,0,0,1,1,1,trim,1,0.021055,0.017558
